Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,7.0,0.1394,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",It is a real miracle of the world!
1,3.0,0.1394,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Incredible experience 
2,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing
3,6.0,0.1422,"history, painting, local, simply, cool, stop, cultural, high, destination, extraordinary",So much history
4,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Just WoW and Amazing !!
5,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing
6,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",wonderful place
7,2.0,0.1368,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",Impressive and unexpected - 2 days 1 night
8,2.0,0.1389,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",One of the Best and economical tour guides in Lalibela to take you around the rock hewn churches!!
9,5.0,0.1422,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Great tour of Lalibela churches with Henok
10,7.0,0.1422,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",The Main must see
11,0.0,0.1394,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Incredible and miust be seen but...
12,6.0,0.15,"history, painting, local, simply, cool, stop, cultural, high, destination, extraordinary",Incredible and awe inspiring for both faithful and secular visitors and lovers of history
13,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing 
14,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing group of churches
15,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Truly unique
16,4.0,0.1473,"trip, magical, city, climb, full, long, ceiling, real, spot, lot",Incredibly inspiring of epic proportions!
17,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing churches and great guide
18,4.0,0.14,"trip, magical, city, climb, full, long, ceiling, real, spot, lot",So many churches - otherwise 5 stars
19,1.0,0.1343,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Awesome Experience But Make Sure You are Physically Fit
20,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Leul- Professional & Super guide for Lalibela
21,5.0,0.1356,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",The Phenomenal Churches of King Lalibela
22,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Worth the detour
23,7.0,0.1422,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",Incredible
24,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Lovely Lalibela
25,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Fantastic
26,2.0,0.1422,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",Amazing place but get the right guide!
27,2.0,0.1587,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",Fascinating and unique - get a guide to fully appreciate
28,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Very Impressive: a must see in Ethiopia !
29,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Unique and Awe Inspiring
30,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing
31,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",magic!
32,4.0,0.1422,"trip, magical, city, climb, full, long, ceiling, real, spot, lot",You need to be fit to do all the churches
33,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",amazing
34,2.0,0.1368,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",Unbelievable experience with the BEST guide
35,7.0,0.1557,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",The main reason for visiting Lalibela
