Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,4.0,0.1261,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",A wonderful moment in time.
1,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great fun
2,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Fun place to visit 
3,0.0,0.1264,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great family place
4,5.0,0.1453,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned",Okay--who doesnt love a baby elephant
5,7.0,0.1285,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Amazing morning
6,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Amazing 
7,6.0,0.1285,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Beautiful time
8,7.0,0.1285,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Incredible place to visit
9,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Elephant sanctuary a great cause
10,3.0,0.122,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort",You must do this! Great experience.
11,6.0,0.1261,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Great place to walk among the wildlife
12,1.0,0.1261,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay","Great Island, great animals"
13,8.0,0.1389,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",Unique experience
14,1.0,0.1237,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",Lovely experience to walk with the animals
15,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Nice place to see wildlife
16,0.0,0.1285,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Exciting close up
17,8.0,0.1198,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",A fun experience!
18,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Fun fun FUN
19,8.0,0.1261,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",If you love giraffes - as I do - please add this to your trip
20,1.0,0.1261,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",Too much food from tourists
21,2.0,0.1285,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",Super cool!
22,1.0,0.1407,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay","Arguably the single most moving, heartwarming privately-run animal conservancy program in the entire world?"
23,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Cute
24,8.0,0.1279,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",Tip: they charge you more if you only have USD
25,8.0,0.1337,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",A great project based on limited funds
26,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Awesome
27,0.0,0.1432,"close, work, giraffe, kid, stunning, city, family, water, personal, creature","Beautiful, gentle creatures up close!"
28,1.0,0.1214,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",Absolutely the best! Go early to avoid crowds
29,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Quick city getaway
30,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",So much fun!
31,1.0,0.13,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",Go early and read the rules
32,3.0,0.1264,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort",Great to feed 
33,1.0,0.1426,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",Beautiful landscape and forest with lots of animals
34,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Relaxed and Beautiful
35,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",A good place to start your safari
36,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Loved the Flamingos
37,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Beautiful park
38,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Very nice
39,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature","Exciting, must visit"
40,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Breathtaking
41,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Excellent park
42,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Beautiful
43,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great park!
44,2.0,0.1285,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",Lovely biking through the park
45,7.0,0.1258,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",An unexpected trump card
46,6.0,0.1261,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",The Rhinos are worth the trip!
47,7.0,0.1285,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Spectacular wildlife
