Destination Name,Review Head,Review Body,Rating,Date of Experience
Church of St. George,This site rival Petra and Machu Pichu come now and beat the crowds,This site is amazing. Dark passages and bridges link the buildings it feels like Indiana Jones might leap out at any time. Archaelogical excavation was taking place while we were there.,5,October 2019
Church of St. George,Stone Church,Definitely one of the sights to see while here.  I recommend hiring a good guide to visit this site for a better understand and an explanation of all.,5,October 2019
Church of St. George,Incredible workmanship,,5,October 2019
Church of St. George,Fabulous Workmanship!,"This is the church we see in all of the photos. It’s roof has an amazing carving of a cross. There is not so cover over it, so the photos turn out beautiful.",5,October 2019
Church of St. George,Iconic church,"St George is the church everyone recognizes, with it's distinctive carved roof. The symbolic theme is Noah's Ark",4,October 2019
Church of St. George,Iconic sight that doesn't disappoint.,"Church of St George, probably the most well known of the rock hewn churches. Relatively easy to access and well worth the climb down. It is the only church that is uncovered, probably because it is such an iconic sight.",5,October 2019
Church of St. George,A Must See!,"Definitely the most photogenic of the Rock Churches & one of the most interesting. If at all possible, go during Sunday morning service which is a unique experience.",5,September 2019
Church of St. George,All that I expected.,,5,September 2019
Church of St. George,Must see!,You will be flashed. It is incredable. An amazing historic work! The place is very authentic. You will always be accompanied by a guide who is giving you lots of informations.,5,October 2018
Church of St. George,magic of the time,"For us Lalibela means St. George, we made us in a ruch to visit this Church, no word can describe the beauty of this master work.
Just visit there by sure",5,March 2019
Church of St. George,Wonderful Local Guide,,5,August 2019
Church of St. George,Unique and breathtaking,"All the Lalibella churches are impressive and worth to visit. However, the St. George is by far the most amazing and by itself worth the trip to this city.",5,August 2019
Church of St. George,interesting historical places and amazing travel agency MESAMA.,,5,July 2019
Church of St. George,Most Impressive of all 11 Churches,,5,September 2019
Church of St. George,Stunning ,My main reason for coming to Ethiopia. Best time to visit is probably when the sun is slowly setting. A bit solitary from the groups of churches. The real deal.,5,September 2019
Church of St. George,Simply outstanding...hard to get my head around how they built this!,All the rock hewn churches are spectacular and this one is probably my favorite.  I think it is wonder of the world.  Don't miss it!!,5,August 2019
