Destination Name,Review Head,Review Body,Rating
Church of St. George,This site rival Petra and Machu Pichu come now and beat the crowds,This site is amazing. Dark passages and bridges link the buildings it feels like Indiana Jones might leap out at any time. Archaelogical excavation was taking place while we were there.,5
Church of St. George,Stone Church,Definitely one of the sights to see while here.  I recommend hiring a good guide to visit this site for a better understand and an explanation of all.,5
Church of St. George,Incredible workmanship,,5
Church of St. George,Fabulous Workmanship!,"This is the church we see in all of the photos. It’s roof has an amazing carving of a cross. There is not so cover over it, so the photos turn out beautiful.",5
Church of St. George,Iconic church,"St George is the church everyone recognizes, with it's distinctive carved roof. The symbolic theme is Noah's Ark",4
Church of St. George,Iconic sight that doesn't disappoint.,"Church of St George, probably the most well known of the rock hewn churches. Relatively easy to access and well worth the climb down. It is the only church that is uncovered, probably because it is such an iconic sight.",5
Church of St. George,A Must See!,"Definitely the most photogenic of the Rock Churches & one of the most interesting. If at all possible, go during Sunday morning service which is a unique experience.",5
Church of St. George,All that I expected.,,5
Church of St. George,Must see!,You will be flashed. It is incredable. An amazing historic work! The place is very authentic. You will always be accompanied by a guide who is giving you lots of informations.,5
Church of St. George,magic of the time,"For us Lalibela means St. George, we made us in a ruch to visit this Church, no word can describe the beauty of this master work.
Just visit there by sure",5
Church of St. George,The most photographed of Lalibela's rock-hewn churches in Ethiopia,,5
Church of St. George,Amazing ,"We really love this hysterical place I think visiting lalepala   

It's A piece of art you never imagine building a church from a stone",5
Church of St. George,the astonishing rock churches,The living rock carved out of the mother rock carefully without the use of advanced building machines is so amusing and difficult to believe it was the product of that ancient time.,5
Church of St. George,Amazing Architect,,5
Church of St. George,"Biblical!!!!  Inside of building up a church, it was built down into the volcanic rock!","Instead of building up a church, it was built down into the rock!  It cannot be seen across the landscape.  Such was the oppression and terror reigning at the time.",5
Church of St. George,wonderful church,the most unique fascinating the most interesting place i ever have visited you will be amazed by the history the construction of this wonderful church,5
Church of St. George,A must visit,The church is very unique. It is carved in stone with the shape of a cross. There is no structure above it as the stone is from basalt stone. You also have great views to the church. So plenty of great photos.,5
Church of St. George,Great place with a great guide,"We had a great guide in Lalibela, visiting the amazing churches. Melsie has so much knowledge about the history of those monuments. I highly recommendhim.",5
Church of St. George,Spectacular,"This is an absolute must for anyone visiting Lalibela, it is quite spectacular, an unforgettable experience.",5
Church of St. George,the place to come for sunset,,5
Church of St. George,The best of the churches in Lalibela,"This is the famous one, and justifiably so- still uncovered, and some distance from the rest of the complex of churches - essential to visit",5
Church of St. George,"A must visit - if any chance, go on Easter Sunday",,4
Church of St. George,One of the 11 Churches of Lalibela,The Church of St. George is an amazing testament to what man can do when the desire is there.  Carved from the stone this church is 82 feet deep and wide.  Getting to the bottom is an easy walk on a series of ramps.,5
Church of St. George,Historical ,,5
