Destination Name,Review Head,Review Body,Rating,Date
Rock-Hewn Churches of Lalibela,Incredible locations don't be put off thinking these are boring churches,Amazing location must visit. This site is marketed as churches but I think it is actually a rock city as there are no records of when they were built and who built them. Must see.,5,October 2019
Rock-Hewn Churches of Lalibela,It is a real miracle of the world!,"I do recommend to visit Lalibela churches and then have a mule trip to the mountain monastery. I would say you need at least two days for this city.

I can also recommend a local guide who can arrange tours to all over in Ethiopia...",5,October 2019
Rock-Hewn Churches of Lalibela,Incredible experience ,A must visit in Ethiopia - one of the most unique experiences I have had in Africa. Highly recommended.,5,October 2019
Rock-Hewn Churches of Lalibela,Amazing,These churches have to be seen to be believed. All chiseled out of rock by hand. You really need a guide to explain all the history. Be aware that you must remove your shoes before entering the churches and woman should have a head covering.,4,October 2019
Rock-Hewn Churches of Lalibela,So much history,Thanks to our tour organiser Ephram who is based in Axum we got to visit the churches in Lallibela. He organised a local guide with good English who brought us round the ancient rock churches. It was a fascinating day which tied us into the...,5,October 2019
Rock-Hewn Churches of Lalibela,"A definite ""GO!""","Truly a marvel of early architecture and craftsmanship that needs to be experienced in person to be fully appreciated.  The idea of chiseling down into a granite mountain, stopping along the way to carve internal columns, etch the arches, and as if that wasn't work...",5,October 2019
Rock-Hewn Churches of Lalibela,Just WoW and Amazing !!,"Please I insist anyone reaches Ethiopia,, never miss the chance to see Lalibela Church's ...in addition to the church's,, Lalibela offers hikking into beautiful Mountains surrounding  the Town",5,August 2019
Rock-Hewn Churches of Lalibela,Amazing,"Nothing can quite prepare you for the rock hewn churches. We read quite a bit, but  they need to be seen and experienced.  Having a knowledgeable guide is key.",5,October 2019
Rock-Hewn Churches of Lalibela,Amnazing,"Go with a guide to get to understand everything. One of the must things to do in Ethiopia, but you need a knowledgeable guide.",5,October 2019
Rock-Hewn Churches of Lalibela,wonderful place,The rock hewn churches are just amazing. Lalibela is an impressive place to visit in Ethiopia. My tour all in Ethiopia was organized by Hafi tours based in Gondar. Hafi is well organized tour organizer with fair and reasonable prices. i recommend you all to...,5,October 2019
