Destination Name,Review Head,Review Body,Rating,Date
Northern Stelae Field,"Impressive stellae, really well preserved archaeology.",We almost skipped Aksum during our travels in Ethiopia. However we made the trip up north and it was well worth it. The entire region is steeped in archaeology and history. The stellae are incredibly well preserved and impressive to see. The underground tombs are...,4,June 2015
Northern Stelae Field,It might even top Lalibela in my books!,"A friend who went to Axum years ago had not wanted to go as it was 'just obelisks'  then she visited and said how wrong she was, and I had to go.  So I went thinking it would be interesting, but I was wrong it...",5,March 2015
Northern Stelae Field,A lot more underground.,"If they would run Ground Radar, a lot more could be found under the site and the city. Observing the Stelae Field one can see that it is located on higher ground. One can observe protruding walls that are buried underground. The tombs have ancient...",5,April 2014
Northern Stelae Field,Dramatic,These are architectural marvels. Read up on them before visiting so you know what your looking at and what the carvings mean.,4,October 2014
Northern Stelae Field,My Experience -- Northern Stelae Field,Spectacular -- with the fallen one the largest of all and we could view the field from our hotel room,5,November 2014
Northern Stelae Field,Don't miss the Museum!,"You probably should see the Museum before making the treck around the site. The Museum exhibits kind of pulled everything together to give us better insights into what we saw on the grounds. Its a small place, won't take but 15 min to take a...",4,October 2014
Northern Stelae Field,The garden of massive monoliths.,"If St. Mary’s Church is the soul of Ancient Axum then the Northern Stelae Field is the heart.  Even before a visit to St. Mary’s, I would imagine this is first on people’s list when they arrive in town and in fact it was my...",3,March 2014
Northern Stelae Field,Breath taking architecture/masonery,"Axum is also a UNESCO heritage site, because of its carved Stelae. Breath taking architecture, to say the least! It is believe the broken stele came crashing down because it's base was too short, thereby ending the stele building era.  A must see!  The onsite...",5,November 2013
Monastery of Na’akuto La’ab,Intesting but only if going to or from the airport,The visit to Na’akuto La’ab Monastery is not worth an specific trip.  The common way of doing is taking a detour from the airport highway that even though is short in distance will take a while due the low quality of the road.,3,August 2019
Monastery of Na’akuto La’ab,An Exotic Experience,"The monastery church is located in a cave below a huge rock ledge. The location alone would make this a memorable experience. The church is small but very interesting. Large, shaped rocks in the form of bowls collect water dripping from the ledge. The priests...",5,February 2019
Monastery of Na’akuto La’ab,not far out of town if you have a little extra time,"It is a lovely walk down, very interesting church. We loved all the birds in this area. If you give a small donation to the priest he will show you the religious artifacts.",4,December 2018
Monastery of Na’akuto La’ab,What a place!,"Lovely to walk along, explore the surrounds and see incredible scenery, and then to find this special place. Was really incredible and the priest was so friendly!",5,September 2018
Monastery of Na’akuto La’ab,Fabulous,"This was interesting because of it's location, history and information provided during the tour. It's a bit out of the way, but worth the trip.",5,October 2017
Monastery of Na’akuto La’ab,Superb !,"Not Far from the Churches these place is so peaceful settled on amazing hill, there is a real spiritual atmosphere, the special water fall, the view, nature and village life around ...you should go by yuk yuk or via the village",5,April 2018
Monastery of Na’akuto La’ab,Lovely place,We visited in the early morning whilst a mass was ongoing in memory of a recently deceased priest. The monastery church is built into a cave and the water seeoing down through the rocks is used a holy water. The setting is wonderful and the...,5,January 2018
Monastery of Na’akuto La’ab,Not worth visiting compare to all other places you can visit around Lalibela,"This monastery was the most disappointing monument in all Ethiopia. Nothing impressive at all. Kepp in mind, it is a lot of beautiful churches in Lalibela and stunning monasteries around.",2,December 2017
Monastery of Na’akuto La’ab,A unique experience,Definitely worth going to see this beautiful church. Allow time to just sit outside and absorb the atmosphere. You can get there by tuktuk from Lalibela.,5,November 2017
Monastery of Na’akuto La’ab,Most unexpected place for a Monastery,"My guide Jimmy Nege took me here as part of my two and a half day tour of Lalibela. An astonishing place, which you least expect to find in it's location. A place of healing and prayer. I even got some bonus holy water given...",5,September 2017
Monastery of Na’akuto La’ab,fantastic views and and history,Really enjoyed going here. Well worth the walk down and up. The guide was good and offered some very insightful comments about the monastery. It feels very holy.,5,May 2017
Monastery of Na’akuto La’ab,Meet the Dedicated Priest at the Door - Great Pictures,"Another must see in Lalibela, Ethiopia, that is the Monastery of Na'akuto La'ab. We came with a small group of ppl. Meet the one priest who lives and serves at Monastery of Na’akuto La’ab--a dwelling tucked away in a massive cave. Talk about the monastery's...",5,January 2017
Monastery of Na’akuto La’ab,"Fascinating, worth a visit",This is one of Lalibela's Eastern grouping of rock hewn churches. We were lucky enough to visit on Feast Day and there was a service going on in the Monastery. We were allowed to watch the service and to light a candle for a small...,5,February 2017
Monastery of Na’akuto La’ab,"Interesting, but difficult  walk.","Interesting, but this Place is not the Place you must visit in Lalibela region if you have Limited time. It reminded my husband and me about similar Places we have visited in other countries like Syria. I did not like that Our guide told us...",3,February 2017
Monastery of Na’akuto La’ab,Fantastic,"I went there walking from Lalibela..
I enjoyed the tour .. was wonderful and i listened carefully to my tour guide Happy who was so good ..",5,December 2016
Monastery of Na’akuto La’ab,spiritual,The holly waters dripping in to the cave and collected by the priests and the views across in to the valley its a magical place.,5,November 2016
Monastery of Na’akuto La’ab,Nice walk,"One of the many monasteries to be explored and visited, close to the town of Lalibela, the landscape being the greater value imho",4,November 2016
Monastery of Na’akuto La’ab,Pleased to take the Holy water!,"I was too interested to visit the place yet come across in shortage of time. Finally I decide to use my lunch time. OMG, I did it & receive the Holy water in the place of Hotel lunch…",5,October 2016
Monastery of Na’akuto La’ab,Nice short walk for holy water,Not the best attraction in Lalibela but a nice one on your way to the airport. This is the church where believers go to cure their illnesses with 'holy' water coming through the rocks and inside the church. The walk there is very pleasant and...,4,October 2016
Monastery of Na’akuto La’ab,A wonderful walk with a spectacular climax.,"We walked from Lalibela and it was a lovely walk to the monastery,  The monastery itself was well worth the effort.  The priest was extremely welcoming and informative inspite of the language barrier.",5,August 2016
Monastery of Na’akuto La’ab,Great location and well as history,Worth a visit for the location and scenery as well as the history. We wandered through some fields and then along a cliff side - very dramatic with great views. We were the only visitors at the time and were able to chat to the...,5,July 2015
Monastery of Na’akuto La’ab,Atmospheric rock monastery,"Na’akuto La’ab is about 1/2hr drive for Lalibela. You walk down many steps, some quite steep, to access the church, where the resident priest will show you the church treasures for a small fee. These include ancient manuscripts which in most other countries would be...",3,February 2016
Monastery of Na’akuto La’ab,Not accessible for everyone !,This is a nice church where the priest showed us the treasures and provided us with some explanations about the priesthood and the the way of living of the priests . Unfortunately the path to access the cave is very steep and can be slippery...,4,December 2015
Monastery of Na’akuto La’ab,Mule Ride,"Take an early morning mule ride up to the Monastery.  Lovely scenery and interesting rock hewn church, one of many in the area around Lalibela.",4,April 2015
Monastery of Na’akuto La’ab,Beautiful Location,"I really enjoyed this lovely little church, which unlike the others in the area has it's treasures on display. There are also great views of the surrounding countryside.",5,December 2015
Monastery of Na’akuto La’ab,Quite a climb,"This was a simple place in a cave up a steep slope with many steps, shared with pilgrims tourists and livestock.",4,November 2015
Monastery of Na’akuto La’ab,A drive outside of Lalibela to a monastery,This is a minor place of interest and is only worth going to see if you have time available. The monastery sits in a cave alcove; therefor you walk down to see it and then hike back up.  After seeing the stone church in Lalibela...,3,October 2015
Monastery of Na’akuto La’ab,Worth while a visit,"Visiting this monastery takes you back years, if not centuries. The village around is related to the monastery. We were told that monks live with their families in homes/huts around! Monks with families, yes, we did pose the question! We were told that when they...",4,October 2015
Monastery of Na’akuto La’ab,Well worth the effort,The monastery  is a little way out of Lalibela but no problem to get transport from the town.  Steps lead down to the monastery which is a church built in the style of the other churches in Lalibela - but under an overhang of the...,4,June 2015
Monastery of Na’akuto La’ab,"Beating drums, priests, and amazing Caves!!!","This is one of my favorite places in Lalibela. The priest was awesome and gave me drum lessons, showed me all the treasures, and was genuinely happy to share the rich and beautiful religious Orthodox Ethiopian culture I was so anxious to absorb.",5,September 2015
Monastery of Na’akuto La’ab,Nakutolab Monastery,"This is good for a short stop on the way to the airport from Lalibela. It is very expensive at 200 birr per person plus a 50 birr ""video fee."" The church is built into a cave and within the cave you can see water...",3,September 2015
Monastery of Na’akuto La’ab,Near lalibela Monastry,"This is one of the first views visitors see of the ancient monastery of Na’akuto La’ab near Lalibela, Ethiopia.

 

The monastery is in a cave under the cliff in the center of the frame. Unlike most of the churches in Lalibela just up the road,...",5,December 2014
Entoto Maryam Church,We weren't happy to see it only from the outside,This was the fiest thing we did when we arrived to Addis Ababa but after we paid the entrance of 200 Birr ( which is a lot in local standards) we discovered that we cannot enter the church during the service. so we had to...,3,June 2018
Entoto Maryam Church,An interesting place to see,"Perched on Addis Ababa's highest tip, Mount Entoto (which I would hike every saturday morning with members of our 'hiking club') is this beautiful old church. It is located in a concession containing a small but interesting museum, where you can admire some of the...",4,July 2017
Entoto Maryam Church,Historic location with beautiful views,"The visit of Entoto hill with its historic churches, chapels museum and, Emperor Menelik palace as well as the monastery is still a must when in Addis. Having visited the location and the Maryam Church about six years ago, its sad to see the lack...",4,April 2018
Entoto Maryam Church,Check out the small museum,"Saint Mary's (Maryam) Church is where Menelik II was crowned emperor of Ethiopia in 1889. He relocated the capital of the country to Addis Ababa. The church also offers a small museum, which is a bit more interesting than the church itself.",3,April 2018
Entoto Maryam Church,Octagonal Church on the grounds of Menelik's Palace,Before entering the compound there is a museum and a guide to tell you all about the artifacts within. Apparently the casual visitor is not encouraged in this church so we ventured further onto the grounds to see the rather modest palace and grounds. Without...,5,October 2017
Entoto Maryam Church,Colorful and high up Entoto,"The church is of traditional circular design. Founded during Menelik's times in the 1880s, the present structure looks quite modern. Dedicated to Mary and her child it is particularly popular among Ethiopian women.
Attractive is the setting of the church on a hilly ridge amidst...",3,March 2018
Entoto Maryam Church,Entoto Maryam Church,Maryam Church(St Mary's Church) is  situated on the peak of Mt Entoto at an altitude of 3200 meters..The normal Ethiopian Orthodox Church mass was in progress with the head priest preaching the sermon over a loudspeaker that could be heard outside the church .The Church...,5,December 2017
Entoto Maryam Church,WORTH CLIMBING THE MOUNTAIN !,"The entrance is for 200 bir per person At first you visit the museum where outfits , books, war tools and other belongings of Ethiopian royals are displayed, Then you cross by  Entoto Mrayam's Cathedral/church (you don't get to go inside , but the sight...",5,January 2018
Entoto Maryam Church,A old church on the hill top,"You will need a vehicle to drive up the hill. There is an old church, museum and old palace at the top. Foreigners must pay ETB 200 per person. I felt it was pricey. That includes a visit to the museum",4,January 2018
Entoto Maryam Church,One of many sites on top of Entoto,"The church is one of three sites on top of the mountain, which also includes a small history museum and the first palace. We didn’t step inside the church and the outside was beautiful and colorful, with lots of people paying homage and in prayer.",4,December 2017
Entoto Maryam Church,A place of Prayer.,"The bright colours of this octagonal church high on Entoto Hill immediately attract the eye.  The prayerful reverence of very ordinary people put the idle chatter of tourists to shame.  Only open during and immediately after Services, we were unable to view the reputedly beautiful...",5,November 2017
Entoto Maryam Church,nice grounds to visit,"There are several different things to visit around the church.  There is a tiny museum right next to the church.  It has a few interesting things, like some Olympic medals.  The information is not printed in English.

The church was closed, so we couldn't go...",3,October 2017
