Destination Name,Review Head,Review Body,Rating,Date
Gheralta Rock,Exciting and scary,"After a relatively easy walk among tukuls and local people, we got to a point where some of us refused to continue. The climb is not difficult, but it is scary. After you get to the top and visit the old church, comes the critical...",4,January 2019
Gheralta Rock,Climbed to one of the rock-hewn churches,"Real scary and exciting adventure - no ropes or safety anything up the cliff. Make sure to get an experienced tour guide, an absolute necessity.",5,January 2019
Gheralta Rock,BEST GUIDE IN ETHIOPIA: totally stress free,"We are just returning from 3 days in the ghetalta mountains with a SENSATIONAL guide Berhanu Welday (+251914861090 / birwel21@gmail.com) 
Berhanu was a fantastic guide who looked after us very well. He organised an inclusive package which made the process of paying entrance fees, negotiating...",5,February 2019
Gheralta Rock,Beautiful experience,Breathtaking views. Incredible excursions. Warm and intense colors. The guide is the best you can have.,5,October 2018
Gheralta Rock,"Multi-Day Visit to Gheralta Rock, Dallol and Danakil Depression","I travelled solo to Ethiopia the last week of December. For two days, I traveled through Gheralta and visited the Danakil Depression. 

The key highlight here is my tour guide Girmay Tewelde, who was my tour guide as well as handled booking hotels and managing...",5,December 2018
Gheralta Rock,Great trek through breathtaking communities and scenery,"We had a beautiful four day, three night trek through the Gheralta Mountain Range. Our guide planned a very flexible trip and was incredibly attentive to our wants, needs and abilities. We saw four churches and countless breathtaking views. Yemane was great as a guide...",5,December 2018
Gheralta Rock,"Great expert guide for the Gheralta Churches in Tigray, Ethiopia","After my third visit to the Gheralta Region (calling it a Gheralta Rock doesn't make justice of this place as it is not only a rock but a whole area), I still amazed by the beauty of this place.

If you want to make the...",5,December 2018
Gheralta Rock,Gheralta with the best guide,"I have spent two days in the Gheralta region, staying at the lovely Gheralta Lodge, and spending the day exploring - by trekking, hiking (and climbing!) - the beautiful and unique nature Gheralta has to offer. 

A friend recommended to go with Gebre (Gebrehiwot Redae),...",5,August 2018
Gheralta Rock,Breathtaking Views,We climbed Gheralta Rock in October. It was unseasonally rainy on the day so we had to spend an hour sheltering in a cave on the side of the mountain. Once the rain cleared we continued our climb and were far from disappointed by the...,5,October 2018
Gheralta Rock,"Amazing, a must!",We stayed two nights in Hawzen and from there did a collection of rock hew churches. Abuna Yemata is the hardest climb but absolutely worth it. I am not great with heights but I did it. At some point you have to leave your shoes...,5,October 2018
Omo National Park and River,The Most authentic culture,"I visited eight different tribes in the Omo valley. Those tribes maintain most of their authentic way of life, colorful decorations, stunning bull jumping ceremony, Be aware that in Tourmi and Jinka towns there isn't much option of Hotels and power supply is also uncertain.",5,February 2019
Omo National Park and River,Omo Valley Tour with Mamushe,"After reading reviews on Trip Advisor and recommendation of fellow, I arranged a tour from Mamushe 

+251 91106 1092 (he has another number too 251 93 593 5885)

He arranged for everything, and was always helpful in the tour.

Mamushe did a 'good value for...",4,May 2019
Omo National Park and River,Visit only if you sure it is responsible tourism!,"In case you want to visit Omo National Park! It is very important to find a reliable and trustful guide! The prices should be not more than 500 birr per guide, entrance fee in the part (around 10-15 USD), driver, and paying to tribes visit...",1,May 2019
Omo National Park and River,Fantastic trip around Omo Valley with Yonas!,"Hi, 
We have done recently some trip around the Omo Valley area with our guide Yonas and his driver Maasai. We had only 8 days and quite busy schedule to see all the interested places, wildlife and tribes living in that area. Thanks to Yonas...",5,May 2019
Omo National Park and River,Gech Akililu. Best guide of Omo Valley and surrounding!,"I visit the Omo Valley, Chamo river and Nesicitar park, with Gech Akililu. You can make your own programm togethet with Gech.  He speak very well English, cheap, safe. and a lot of knowledge of the people from south Ethiopian.  He can also arranged a...",5,June 2019
Omo National Park and River,Fantastic Omo Valley tour with Degu Ashenafi,"I had amazing tour with Degu Ashenafi visiting the tribes of Omo Valley for 3 days.
He is very professional, speaks 5 tribal languages, has good access to the tribes and speaks amazing English.
His prices are very reasonable, he can organise a tour either...",5,June 2019
Omo National Park and River,One of the best experiences of my life ,"This was just excellent. Solomon customized my itinerary to meet my specific needs, gave me a fair price (there are a lot of scams/price gouging in the region) and gave me an experience I will never forget. 

First of all-the highlight of the trip was...",5,May 2019
Omo National Park and River,UNFORGETTABLE EXPERIENCE+SAVING ECONOMY BUDGET IN THE SOUTHERN OMO VALLEY ETHIOPIA!!!,I booked a nine day cultural tour of Omo valley tribes with Ras Kali Omo valley local tour. Am satisfied with both the professionalism and quality of the tour. The booking and planning was so amazing with Ras Kali man the operator and guide on...,5,November 2018
Omo National Park and River,Best tour guide in Ethiopia,"Oh man oh man where do I start?
It is beyond your imagination. Safe. Comfortable. Good communication. I travelled solo! 
Neway is giving the best experiences for a reasonable price. Compared to others he offers so much more. 
I saw Dorze, went to Forty springs...",5,May 2019
Omo National Park and River,Fresh review after a return from the Omo Valley - Amane Ras - the best guide!,"I’ve just returned from my 3 days Omo Valley adventure. I was with the best guide - Amane Ras - a very experienced guide, who’s the expert in that region. 

I found contact details to him through random posts from other clients on travel forums....",5,May 2019
National Museum of Ethiopia,Fantastic timeline of hominids and humanity and contemporary art,"Really loved the display describing the timeline of prehistoric humans / hominids. Great for kids! Easy to understand. Also, the skeleton of Lucy (replica) is on display. 

If you are into clothing, weapons and pottery, you will see lots of that, too. Also interesting art...",4,April 2015
National Museum of Ethiopia,Worth a short visit,The bottom floor that holds the remains of Lucy is amazing and everything is well documented; the rest of it can be skipped.,3,April 2015
National Museum of Ethiopia,Average museum,apart from the Lucy exhibition and other fossils discovered there is nothing to see in the museum. There are other floors with medieval times and some paintings but rather dissapointing. Worth a stop only for the basement exhibition of fossils,3,None
National Museum of Ethiopia,Disappointing,"We expected much more from this museum - parts were certainly interesting, especially on the basement level which charts palentology history in Africa and includes the cast of Lucy, but it could be much more interactive. The other levels were quite disappointing - some lovely...",2,April 2015
National Museum of Ethiopia,Visiting with Lucy,"I was deeply impressed by the methodical display and passionate guide who took me and my group through the small but informative museum. I was impressed by the careful care of the remains of Lucy, the oldest human remains on the African continent.",4,December 2014
National Museum of Ethiopia,Great Museum,"This museum is a gem. It is now the home of Lucy, the hominid discovered in Ethiopia. There is a replica displayed which shows you how small this creature was. The great aspect of this museum is the display of various hominid discoveries that comprise...",5,March 2015
National Museum of Ethiopia,Amazing objects but very poorly displayed,Incredible objects portraying the cultural heritage and history of Ethiopia but poorly displayed and not doing justice to their significance,3,March 2015
National Museum of Ethiopia,Had to see Lucy,"It was interesting to see Lucy but the museum is small. There is a great cafe next door. Museum would be better if they had headphones or gave guided tours. The entrance fee was cheap, though.",3,March 2015
National Museum of Ethiopia,Disappointing: a poorly-curated museum,"I was expecting more of the National Museum.  It is quite small, and many of the exhibits have absent or poor information in English.  For me the most interesting section was the modern art upstairs.",3,March 2015
National Museum of Ethiopia,A quick but important stop,"A small museum by most standards - four small floors of exhibits - but worth the stop to see some of the earliest artifacts of man.  Not terribly well lit, and some exhibits poorly labeled, but the basement exhibit with the history of man was...",4,March 2015
Harar Jegol Wall,It is a good place.,"Harar, is a small city and full of historical place. The City wall is the most interesting place here, besides at the evening you can go to feed the Hyena. 
But the fact that the city is small, so actually you don't have many thing...",4,October 2014
Harar Jegol Wall,Stunning historic architecture,"Amazing wall with a beautiful path around the south side of the city, where you can view lush groves and wildlife and spot the occasional errant hyena. Go see for yourself!",5,March 2014
Harar Jegol Wall,The living Museum,"I had visited 15 days ago Harar & New Harar( Dire Dawa) in connection with the World museum day celebrated in the city. It was my first time to be there, and wow..super attractions!!
-Located 525 km from Addis Ababa
-Founded in the 7th century...",4,May 2014
Harar Jegol Wall,fortified historic town,"Harar is a fortified historic town in south-eastern Ethiopia and was a major commercial center, linking East African and Islamic states trough trade.
 
It has been recognized by UNESCO as 'an inland urban settlement with a distinct architectural character and social organization'.

It is considered...",4,June 2013
National Museum of Ethiopia,so amazed by the history it collected,an amazing place for all history lovers. the are well organized and all the guyed you fined there have well informed about the things you will find there.,5,January 2016
National Museum of Ethiopia,Lucy is in the Basement,"Not really - only a replica of the famed Lucy resides there. This museum costs only about $1 to visit and has some interesting items from old bones to cultural, historical items to artwork. Don't expect too much and you won't be disappointed. A guide...",3,February 2016
National Museum of Ethiopia,The home of Lucy,"A very good museum with allot of archaeological artifacts, historical garments and furniture from past kings and emperors.  Home of Lucy - the earliest homo sapien specimen",4,January 2016
National Museum of Ethiopia,Great museum,"Where else can you see the oldest ""human"" bones in the world?  Btw spoiler it's not lucy. Great exhibits. Great price.  Must see.  Get a tour if you want, I didn't but I kinda sorta listened in on a tour guide. It made the experience...",5,January 2016
National Museum of Ethiopia,Interesting and informative ,"The story of Lucy is quite a fascinating tale!
The artifacts are reasonably presented...however if you have any disability regarding mobility it would be difficult to view the museum.",4,January 2016
National Museum of Ethiopia,Go to see Lucy,The museum cost 10 Birr to go into and it is a must visit to see Lucy.  The exhibition is downstairs and it not only has the skeletal remains of Lucy but the remains of a few others that are also dated around the same...,3,January 2016
National Museum of Ethiopia,Hello Lucy,"We had to go to the national museum to see lucy.  The museum is very small and unimpressive.  Not much upkeep, however we did enjoy it.  Takes about 45 minutes.",5,January 2016
National Museum of Ethiopia,Where is Lucy?,"Here she is! Lucy, our oldest ancestor lies here. I think this should be a must stop even if you are passing by Addis for a few days.",4,April 2015
