Destination Name,Destination Type,Rating,Review Head,Review Body,Date
Rock-Hewn Churches of Lalibela,Landmarks,5,Incredible locations don't be put off thinking these are boring churches,Amazing location must visit. This site is marketed as churches but I think it is actually a rock city as there are no records of when they were built and who built them. Must see.,October 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,It is a real miracle of the world!,"I do recommend to visit Lalibela churches and then have a mule trip to the mountain monastery. I would say you need at least two days for this city.

I can also recommend a local guide who can arrange tours to all over in Ethiopia...",October 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Incredible experience ,A must visit in Ethiopia - one of the most unique experiences I have had in Africa. Highly recommended.,October 2019
Rock-Hewn Churches of Lalibela,Landmarks,4,Amazing,These churches have to be seen to be believed. All chiseled out of rock by hand. You really need a guide to explain all the history. Be aware that you must remove your shoes before entering the churches and woman should have a head covering.,October 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,So much history,Thanks to our tour organiser Ephram who is based in Axum we got to visit the churches in Lallibela. He organised a local guide with good English who brought us round the ancient rock churches. It was a fascinating day which tied us into the...,October 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,"A definite ""GO!""","Truly a marvel of early architecture and craftsmanship that needs to be experienced in person to be fully appreciated.  The idea of chiseling down into a granite mountain, stopping along the way to carve internal columns, etch the arches, and as if that wasn't work...",October 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Just WoW and Amazing !!,"Please I insist anyone reaches Ethiopia,, never miss the chance to see Lalibela Church's ...in addition to the church's,, Lalibela offers hikking into beautiful Mountains surrounding  the Town",August 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Amazing,"Nothing can quite prepare you for the rock hewn churches. We read quite a bit, but  they need to be seen and experienced.  Having a knowledgeable guide is key.",October 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Amnazing,"Go with a guide to get to understand everything. One of the must things to do in Ethiopia, but you need a knowledgeable guide.",October 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,wonderful place,The rock hewn churches are just amazing. Lalibela is an impressive place to visit in Ethiopia. My tour all in Ethiopia was organized by Hafi tours based in Gondar. Hafi is well organized tour organizer with fair and reasonable prices. i recommend you all to...,October 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Visit to Rock Hewn Churches,"Easy access to churches from Lilibela Town Center. $52.00 USC per person for entry to entire 11 church complex, (World Heritage Site). You will need to pick up a local guide in order to enter the site, a few extra ""Birr"" gets you someone to...",September 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Impressive and unexpected - 2 days 1 night,"Background: 2 guys in our 30s in Addis for a month, taking a weekend trip to Lalibela. 

I highly recommend you go with a guide if you're not Ethiopian/Orthodox. You will be walking among the local people going about their lives in the market, church,...",October 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,One of the Best and economical tour guides in Lalibela to take you around the rock hewn churches!!,Lalibela has turned out as one of my favourite destinations that I have visited so far and thanks to Endayene or Endy (his name in short) who made my stay in Lalibela really comfortable and economic. I am a student and I was on a...,October 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Ethiopia Simien mountains and Lalibela trip,Just got back from an amazing trip to Ethiopia. A country that I have never thought I would visit. Africa is a continent that I haven’t been before and after stumbling upon this new website Design4utravel I realised that this agency has been organising tours...,September 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,LIved up to my expectations,Did enjoy scrabbling around these churches - felt most welcome visiting them. They certainly were wonderful to view and explore.,September 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Churches of Lalibela,"The churche of Lalibela were amazing
Lalibela also has lots of beautiful views
People are very friendly
Highly recommended visit

My tourguide was excellent

WahtApp: +251918518807
Email: haftomgebreham@gmail.com",March 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Great tour of Lalibela churches with Henok,"We hired Henok to give us a day long tour of the rock hewn churches in Lalibela, and it was a great experience.  Very knowledgable, personable, and good English.  We especially appreciated the way he taught us about the differences between the historical accounts of...",October 2019
Rock-Hewn Churches of Lalibela,Landmarks,4,Different,"One of the better developed sites in the country. Nice pathways, guideways and comfortable to see. Nice views. The site is interesting, why would one build a church underground. Find out. More tourist developed than most other sites in the country but not many o...",October 2018
Rock-Hewn Churches of Lalibela,Landmarks,5,Must see!,"It is magic. Best time for a visit is in the afternoon. In the morning it is crowded... Tourists from France, England, US...",October 2018
Rock-Hewn Churches of Lalibela,Landmarks,5,The Main must see,"We went to this city just to see the charms of the churches, a fabulous place, a real must see
Among all the churches i liked Church of St. George the most. A real master work",March 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Incredible and miust be seen but...,The site of these rock hewn churches is one of the most  spectacular and rare evidence of Africa's historic civilizations. It is worth taking one of the local guides who will explain the history and engineering ( beyond that it was built by 'angels) but...,May 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Should be one of the 7 wonders of the world!!,Seen nearly all of the new 7 wonders of the world (just missing Christ the Redeemer) and the Rock Hewn Churches of Lalibela are as good or better than most!  Petra has nothing on these structures. I am frankly shocked that they aren't talked about...,August 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Incredible and awe inspiring for both faithful and secular visitors and lovers of history,"Absolutely remarkable. These man made attractions were literally carved out of the mountain in exquisite detail. Every wall is adorned with symbolic reliefs, inside and out. We’ve visited a few of these stone churches in other regions in Africa and the Middle East and these...",June 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Amazing ,"If you go to Lalibella, you have to go to visit the churches! Amazing arquitectura, it’s expensive 50$ but you can use your ticket for several days although with one day you can visit completely.

I recommend to go with a guide who explained everything...",July 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,1 of wonder of the world,Amazing place to visit.Crown jewel of Ethiopian tourism. The highest of all worship place in Ethiopia.,July 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Visit to the three church clusters,"I went to the three different church clusters with my guide Mareg. As it was low season, we wandered around the complexes peacefully. 

The entire compound is smaller than you think, but nonetheless very impressive and mind boggling.

I can recommend a visit via Mareg:...",June 2019
Rock-Hewn Churches of Lalibela,Landmarks,2,Poor behavior of guide -- turn off of my day,"I can't agree with everyone more in that these churches are spectacular. everyone should see the.   Today however I witnessed very bad behavior by a guide,  July is off season and there are not many tourists here - this is great because you can see...",July 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,"900 years active churches, tunel connected","Very very impressive.All are connected for safety. Each one have a certain day when all believers come early morning, white dresses, to ptey.",June 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,This is why you are here,This is the reason you came - the churches are amazing and seeing the people worship a bonus. We came on a Sunday and it was spectacular to witness the chanting,June 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,THE reson to visit Lalibela,"These churches are impressive.  Carved out of stone from the top down for the purposes of (so my guide said) avoid being seen at a distance by invaders.  These churches are THE reason tourists come here so, depending on the season, getting a nice pic...",May 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Amazing group of churches,"Going to Lalibela is very interesting. The amazing group of carved churches, that are active up to know with religious services is a wonderful experience!",June 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Truly unique,"As a UNESCO World Heritage site, you already know it's going to be something special.  To see the 11 hand carved monolithic churches in person is simply incredible.  Wear comfortable shoes, lots of walking, but ones that you can take off easily as you cannot...",May 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Incredibly inspiring of epic proportions!,These rock churches have been on the top of my bucket list and they were nothing short of astounding.  Very blessed to be there on the Feast Day of St. Gabriel.  Holy and sacred and so well preserved.,March 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Travel to Ethiopia ,"Lalibela Rock Hewn Churches 

At a road distance of 682 km north of Addis Ababa, Lalibela is a small town at ± 2,600masl with an exclusively Christian population of about 20,000, famous rock-hewn churches, referred to as biete, bete or bet, meaning ""house"". Ethiopia's second...",June 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,Amazing churches and great guide,We don’t normally use a guide but I would really recommend you do here as there is much to learn and also lots of passageways and things you’d miss otherwise. We used a guide called Kassahun (tel. +251 98 525 9442) who really made our...,April 2019
Rock-Hewn Churches of Lalibela,Landmarks,5,The reason you're in Lalibela,"Don't miss these sites, even though a couple now have UNESCO coverings on them, which does decrease from the mystery a little. Extraordinary, words and pictures don't do them justice",May 2019
